id,filename,heading,category
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.1 Summary Description of the Project,project_summary
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.2 Sectoral Scope and Project Type,sector
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.3 Project Eligibility,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.4 Project Design,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.5 Project Proponent,project_proponent
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.6 Other Entities Involved in the Project,other_entities
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.7 Ownership,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.8 Project Start Date,project_start_date
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.9 Project Crediting Period,crediting_period
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.10 Project Scale and Estimated GHG Emission Reductions or Removals,ghg_emission_reduction
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.11 Description of the Project Activity,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.12 Project Location,project_location
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.13 Conditions Prior to Project Initiation,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,"1.14 Compliance with Laws, Statutes and Other Regulatory Frameworks",
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.15 Participation under Other GHG Programs,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.16 Other Forms of Credit,crediting_period
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.17 Additional Information Relevant to the Project,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.1 No Net Harm,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.17. The Project does not result in any negative socio-economic impacts.,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.2 Local Stakeholder Consultation,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,"2.4. Nearly all respondents believed that the project had positive impact on local employment,",
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.3 Environmental Impact,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.1 Air pollution,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.2 Wastewater,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.3 Noise,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.4 Solid waste,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.5 Impact on the ecosystem,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.1 Air pollution,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.2 Wastewater,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.3 Noise,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.4 Solid waste,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.4 Public Comments,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,2.5 AFOLU-Specific Safeguards,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,3.1 Title and Reference of Methodology,methodology
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,3.2 Applicability of Methodology,methodology
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,3.3 Project Boundary,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,3.4 Baseline Scenario,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,3.5 Additionality,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,3.6 Methodology Deviations,methodology
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,4.1 Baseline Emissions,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,4.2 Project Emissions,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,4.3 Leakage,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,4.4 Estimated Net GHG Emission Reductions and Removals,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.1 Baseline emissions from methane destroyed,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.2 Baseline emissions from release of methane into the atmosphere,
2615,2615_vcs_joint_pd-mr_(v4.0)_jiajia_jiayi_cmm_(v3.1)_2022.01.24_clean.pdf,1.3 Baseline emissions from power generation replaced by the project,
